1.0.30001608	aac	AAC audio file format	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/aac"", ""AAC audio file format"")"
1.0.30001608	abortcontroller	AbortController & AbortSignal	TRUE	9/17/2012, 2:26:37 AM	TRUE	"=HYPERLINK(""https://caniuse.com/abortcontroller"", ""AbortController & AbortSignal"")"
1.0.30001608	ac3-ec3	AC-3 (Dolby Digital) and EC-3 (Dolby Digital Plus) codecs	FALSE	9/17/2012, 2:26:37 AM	FALSE	
1.0.30001608	accelerometer	Accelerometer	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/accelerometer"", ""Accelerometer"")"
1.0.30001608	addeventlistener	EventTarget.addEventListener()	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/addeventlistener"", ""EventTarget.addEventListener()"")"
1.0.30001608	alternate-stylesheet	Alternate stylesheet	FALSE	9/17/2012, 2:26:37 AM	FALSE	
1.0.30001608	ambient-light	Ambient Light Sensor	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/ambient-light"", ""Ambient Light Sensor"")"
1.0.30001608	apng	Animated PNG (APNG)	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/apng"", ""Animated PNG (APNG)"")"
1.0.30001608	array-find-index	Array.prototype.findIndex	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/array-find-index"", ""Array.prototype.findIndex"")"
1.0.30001608	array-find	Array.prototype.find	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/array-find"", ""Array.prototype.find"")"
1.0.30001608	array-flat	flat & flatMap array methods	TRUE	9/17/2012, 2:26:37 AM	TRUE	"=HYPERLINK(""https://caniuse.com/array-flat"", ""flat & flatMap array methods"")"
1.0.30001608	array-includes	Array.prototype.includes	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/array-includes"", ""Array.prototype.includes"")"
1.0.30001608	arrow-functions	Arrow functions	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/arrow-functions"", ""Arrow functions"")"
1.0.30001608	asmjs	asm.js	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/asmjs"", ""asm.js"")"
1.0.30001608	async-clipboard	Asynchronous Clipboard API	TRUE	6/13/2018, 1:21:12 AM	TRUE	"=HYPERLINK(""https://caniuse.com/async-clipboard"", ""Asynchronous Clipboard API"")"
1.0.30001608	async-functions	Async functions	TRUE	11/5/2016, 1:56:28 PM	TRUE	"=HYPERLINK(""https://caniuse.com/async-functions"", ""Async functions"")"
1.0.30001608	atob-btoa	Base64 encoding and decoding	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/atob-btoa"", ""Base64 encoding and decoding"")"
1.0.30001608	audio-api	Web Audio API	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/audio-api"", ""Web Audio API"")"
1.0.30001608	audio	Audio element	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/audio"", ""Audio element"")"
1.0.30001608	audiotracks	Audio Tracks	TRUE	9/17/2012, 2:26:37 AM	TRUE	"=HYPERLINK(""https://caniuse.com/audiotracks"", ""Audio Tracks"")"
1.0.30001608	autofocus	Autofocus attribute	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/autofocus"", ""Autofocus attribute"")"
1.0.30001608	auxclick	Auxclick	TRUE	10/21/2013, 4:04:25 AM	FALSE	"=HYPERLINK(""https://caniuse.com/auxclick"", ""Auxclick"")"
1.0.30001608	av1	AV1 video format	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/av1"", ""AV1 video format"")"
1.0.30001608	avif	AVIF image format	TRUE	9/17/2012, 2:26:37 AM	TRUE	"=HYPERLINK(""https://caniuse.com/avif"", ""AVIF image format"")"
1.0.30001608	background-attachment	CSS background-attachment	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/background-attachment"", ""CSS background-attachment"")"
1.0.30001608	background-clip-text	Background-clip: text	TRUE	7/23/2018, 1:29:46 AM	FALSE	"=HYPERLINK(""https://caniuse.com/background-clip-text"", ""Background-clip: text"")"
1.0.30001608	background-img-opts	CSS3 Background-image options	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/background-img-opts"", ""CSS3 Background-image options"")"
1.0.30001608	background-position-x-y	background-position-x & background-position-y	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/background-position-x-y"", ""background-position-x & background-position-y"")"
1.0.30001608	background-repeat-round-space	CSS background-repeat round and space	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/background-repeat-round-space"", ""CSS background-repeat round and space"")"
1.0.30001608	background-sync	Background Sync API	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/background-sync"", ""Background Sync API"")"
1.0.30001608	battery-status	Battery Status API	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/battery-status"", ""Battery Status API"")"
1.0.30001608	beacon	Beacon API	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/beacon"", ""Beacon API"")"
1.0.30001608	beforeafterprint	Printing Events	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/beforeafterprint"", ""Printing Events"")"
1.0.30001608	bigint	BigInt	TRUE	10/23/2018, 3:27:38 PM	TRUE	"=HYPERLINK(""https://caniuse.com/bigint"", ""BigInt"")"
1.0.30001608	blobbuilder	Blob constructing	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/blobbuilder"", ""Blob constructing"")"
1.0.30001608	bloburls	Blob URLs	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/bloburls"", ""Blob URLs"")"
1.0.30001608	border-image	CSS3 Border images	TRUE	9/17/2012, 2:26:37 AM	TRUE	"=HYPERLINK(""https://caniuse.com/border-image"", ""CSS3 Border images"")"
1.0.30001608	border-radius	CSS3 Border-radius (rounded corners)	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/border-radius"", ""CSS3 Border-radius (rounded corners)"")"
1.0.30001608	broadcastchannel	BroadcastChannel	TRUE	9/17/2012, 2:26:37 AM	TRUE	"=HYPERLINK(""https://caniuse.com/broadcastchannel"", ""BroadcastChannel"")"
1.0.30001608	brotli	Brotli Accept-Encoding/Content-Encoding	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/brotli"", ""Brotli Accept-Encoding/Content-Encoding"")"
1.0.30001608	calc	calc() as CSS unit value	TRUE	9/17/2012, 2:26:37 AM	TRUE	"=HYPERLINK(""https://caniuse.com/calc"", ""calc() as CSS unit value"")"
1.0.30001608	canvas-blending	Canvas blend modes	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/canvas-blending"", ""Canvas blend modes"")"
1.0.30001608	canvas-text	Text API for Canvas	TRUE	9/17/2012, 2:26:37 AM	FALSE	"=HYPERLINK(""https://caniuse.com/canvas-text"", ""Text API for Canvas"")"
